Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF
197312,  -1.62,  -3.77,   1.01,   8.60,  -4.32,   4.54,  -0.40,  -4.48,   3.41,   2.47,0.0050
197401,   2.38,   6.28,   0.41,  -7.52,   1.25,   2.01,   6.81,  -2.52,   4.55,   1.11,-0.0019
197402,   0.00,  -0.99,  -0.11,  -1.48,  -0.60,   4.76,   0.93,  -1.23,   0.27,   1.03,-0.0035
197403,  -1.85,   0.03,  -0.89,  -3.33,  -2.76,  -4.59,  -3.32,   1.21,  -3.63,  -3.64,-0.0290
197404,  -3.77,  -3.94,  -2.39,  -6.30,  -3.68,  -5.31,  -1.97,  -1.48, -12.19,  -6.39,-0.0535
197405,  -2.82,   0.52,  -2.09,  -7.48,  -4.26,  -1.52,   1.16,  -0.12,  -4.89,  -8.41,-0.0495
197406,  -0.56,  -2.71,  -0.30,  -0.27,  -2.95,   0.30,  -2.72,  -1.62,  -6.17,  -5.50,-0.0289
197407, -10.21, -11.74,  -7.29,  -0.65,  -8.45,  -7.63, -12.89, -14.06,   0.79,  -6.64,-0.0779
197408, -10.27,  -6.70, -10.21,  -8.54,  -4.90,  -0.04, -13.04,  -8.11,  -8.62, -10.62,-0.0937
197409, -12.15, -12.76, -12.54,  -7.87, -16.88,  -3.81, -12.02, -15.55,  -1.34,  -9.58,-0.1178
197410,  15.64,   4.10,  16.26,  20.97,  14.83,  10.85,  10.23,  29.52,  13.00,  20.22,0.1605
197411,  -3.84,  -4.67,  -6.16,  -4.18,  -4.92,  -3.09,  -5.73,  -1.20,  -0.15,  -2.76,-0.0464
197412,  -0.60,  -3.86,  -4.46,   0.79,  -5.30,   1.57,  -3.41,  -3.37,  -0.83,  -4.35,-0.0340
197501,  18.88,  21.31,  14.47,   6.51,  15.29,  11.10,  25.86,  -0.61,  18.84,  17.81,0.1356
197502,   4.10,   4.58,   8.12,   2.28,  13.21,   5.16,   5.00,  16.04,   0.92,   2.84,0.0543
197503,   7.07,   6.69,   5.07,  -2.20,   1.00,  -0.85,  10.48,   1.28,  -1.34,   4.11,0.0261
197504,   3.11,   4.00,   9.45,   7.26,   5.54,  -0.95,   2.59,   0.72,  -1.58,   3.30,0.0420
197505,   5.21,   2.62,   2.60,  12.35,   5.86,   3.52,   4.23,   6.48,   8.45,   5.69,0.0508
197506,   5.35,  10.20,   3.64,   6.24,   2.27,   4.07,   7.52,   0.91,  10.77,   5.95,0.0475
197507,  -5.39,  -2.06,  -5.85,  -4.18,  -9.40,  -4.22,  -7.45, -12.03,  -4.78,  -6.12,-0.0652
197508,  -3.12,  -3.43,  -0.88,  -0.94,  -2.97,  -3.59,  -0.25,  -3.34,  -1.30,  -5.12,-0.0284
197509,  -2.51,  -2.56,  -5.65,  -1.15,  -0.84,  -1.25,  -3.50,  -6.54,  -0.97,  -6.30,-0.0433
