Month,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other,US
198303,"7,39","-1,07","2,15","5,99","0,67","0,71","8,56","4,61","0,3","4,96","2,86"
198304,"6,3","11,03","6,34","9,46","7,49","5,13","8,68","5,1","4,78","8,23","6,67"
198305,"-0,88","-2,14","2,17","1,3","2,74","-1,28","0,4","-2,7","2,62","2,47","0,39"
198306,"2,97","10,4","1,63","6,48","6,13","0,23","6,12","6,87","-0,41","1,6","3,1"
198307,"-2,6","-3,62","-2,46","-2,31","-5,39","-5,17","-3,31","-5,6","1,05","-3,67","-4,08"
198308,"0,64","-2,48","0,74","7,19","-1,1","2,19","-4,83","-1,08","1,5","-0,59","-0,14"
198309,"4,59","4,44","2,38","-4,85","2,12","2,26","2,3","1,29","4,66","1,63","0,91"
198310,"-0,24","0,36","-2,29","-2,11","-6,9","-5,22","-1,6","-2,15","3,07","-4,03","-3,11"
198311,"2,27","4,12","6,32","-0,56","2,27","3,17","4,42","-3,03","-1,56","4,68","2,1"
198312,"-0,46","0,97","-1,04","1,9","0,38","-1,52","-4,78","-3,58","-3,64","-0,86","-1,67"
198401,"-0,76","-5,39","-3,51","9,98","-6,16","4,06","-5,9","-0,61","1,49","-1,67","-1,74"
198402,"-5,73","-6,08","-6,62","3,88","-5,95","-3,7","-4,47","-1,99","-3,36","-4,88","-4,5"
198403,"1,56","0,37","3,22","0,16","1,85","-4,21","1,26","-0,69","-0,24","2,45","0,5"
198404,"0,48","1,3","0,01","4,07","-0,44","2,18","0,24","2,29","-0,39","-2,08","-0,27"
198405,"-2,4","-5,56","-5,68","-5,07","-5,51","-3,49","-5,14","-6,48","-0,83","-6,86","-5,89"
198406,"6,31","1,99","3,22","-2,21","1,79","12,26","7,4","3,83","0,48","2,24","2,1"
198407,"-1,72","2,59","-1,51","-7,16","-2,33","2,87","0,12","-3,84","-0,03","-1,8","-2,71"
198408,"8,77",10,"11,97","13,74","13,87","7,15","9,89","10,26","7,75","11,17","10,46"
198409,"1,26","-0,14","-2,5","2,11","-3,9","4,04","0,02","-4,41","4,81","2,26","-0,81"
